sexo,idade,renda_ind,escolaridade,regAdm,Cluster
1,51,0.0,2,21,3
1,48,0.0,5,6,2
2,63,0.0,2,6,3
2,31,0.0,5,28,0
1,33,2424.34,5,28,0
1,23,1454.6,3,33,0
2,21,0.0,3,33,0
2,57,0.0,5,5,3
1,71,0.0,7,5,2
2,32,2873.29,7,27,4
1,36,2873.29,7,27,4
1,72,2536.3,2,13,3
1,34,601.02,7,13,4
2,24,0.0,6,13,0
2,64,0.0,2,13,3
2,54,5766.64,7,1,2
1,74,5864.38,7,1,1
2,33,0.0,6,1,0
1,30,0.0,5,1,0
2,29,0.0,7,10,0
2,18,0.0,2,10,0
1,43,0.0,7,10,4
1,41,1759.31,3,25,0
2,47,1075.14,2,25,3
1,67,0.0,7,20,2
2,60,0.0,7,20,2
2,35,0.0,7,20,0
1,32,0.0,7,20,4
2,35,0.0,7,3,4
1,49,1066.71,2,25,3
2,35,290.92,5,25,0
2,40,0.0,3,1,3
1,45,0.0,5,1,2
1,21,1066.71,5,18,0
1,42,2133.42,2,18,3
1,57,0.0,6,17,2
2,59,0.0,7,17,2
1,29,0.0,7,17,4
2,24,0.0,5,17,0
1,19,0.0,5,7,0
2,49,0.0,2,7,3
1,48,0.0,2,7,3
2,77,10535.4,7,1,1
1,46,0.0,7,1,4
2,64,2681.74,5,1,2
2,38,0.0,7,12,0
2,41,0.0,5,12,0
2,53,0.0,5,13,2
2,38,1200.0,7,13,4
1,62,0.0,5,13,2
1,37,5864.38,7,23,4
2,42,244.35,7,23,0
1,25,2369.76,6,30,0
2,63,3033.3,7,30,2
1,60,0.0,7,30,2
1,23,0.0,6,30,0
2,50,0.0,5,27,0
1,53,0.0,5,27,2
1,23,0.0,6,27,0
1,43,2600.0,6,3,2
1,39,3000.0,2,3,3
2,37,0.0,5,3,0
1,33,3600.0,5,19,4
1,24,1205.29,5,15,0
2,76,0.0,1,15,3
1,34,11636.83,7,20,4
2,30,5818.41,7,20,4
1,55,0.0,8,14,4
2,75,0.0,1,14,3
2,35,1075.14,2,14,3
1,23,6500.0,6,3,4
2,73,1800.0,3,3,3
1,40,450.0,5,32,0
2,76,1700.0,2,32,3
1,36,1842.5,5,3,4
2,43,0.0,5,19,0
2,77,4006.8,2,19,3
1,70,15268.49,7,20,1
2,31,1954.79,7,11,4
1,37,1954.79,4,11,0
2,26,969.74,3,11,0
2,52,0.0,7,1,2
1,66,1163.68,7,3,2
2,63,1163.68,7,3,2
2,56,1101.87,1,13,3
2,29,0.0,2,13,0
2,43,4848.68,7,22,4
1,35,0.0,6,22,0
2,77,0.0,1,13,3
2,69,5746.58,7,1,2
1,69,5746.58,7,1,1
2,48,0.0,5,3,2
1,66,28732.91,7,24,1
2,37,0.0,7,16,0
1,42,9697.36,7,1,1
2,54,239.44,2,31,3
1,65,0.0,2,6,3
2,63,0.0,2,6,3
2,72,1075.14,1,7,3
1,69,1075.14,1,7,3
1,27,0.0,4,30,0
2,39,948.07,5,27,0
1,33,2932.19,7,27,4
2,37,1270.62,5,11,0
2,40,1406.17,8,4,4
1,28,1807.93,8,4,4
1,23,1406.17,8,4,4
1,65,0.0,3,22,3
2,63,0.0,3,22,3
2,30,0.0,6,21,0
1,27,0.0,5,21,0
2,59,1075.14,5,21,3
2,51,4329.09,7,1,2
2,35,0.0,6,13,0
2,35,3305.61,2,13,3
1,73,3005.1,5,4,2
2,61,1502.55,5,4,2
1,39,3588.02,7,20,4
1,53,0.0,7,20,4
2,52,0.0,7,20,2
2,45,3909.59,5,10,2
1,19,0.0,5,10,0
1,57,11728.76,5,27,2
2,56,7819.17,7,27,2
2,30,9773.97,7,27,4
2,35,0.0,7,24,0
1,38,0.0,7,24,4
2,67,0.0,2,28,3
1,70,0.0,5,28,2
1,53,1212.17,5,12,2
2,51,0.0,5,12,2
1,18,250.43,2,32,0
2,20,0.0,4,32,0
2,48,150.26,2,32,3
2,28,0.0,7,18,0
2,61,5213.48,7,18,2
2,63,8069.7,7,2,2
2,36,6591.19,7,2,4
1,66,8078.71,7,2,1
1,60,0.0,7,1,2
1,27,0.0,7,1,4
1,36,1745.52,5,29,0
2,31,0.0,3,29,0
2,64,11374.87,7,18,1
1,66,15166.49,7,18,1
2,30,8531.15,7,18,4
1,70,0.0,2,2,3
2,70,0.0,5,2,3
2,53,0.0,7,18,2
1,52,0.0,7,1,2
1,46,0.0,7,1,4
2,35,2003.4,5,3,0
2,49,2909.21,5,14,2
1,36,0.0,5,12,0
2,66,0.0,1,12,3
2,75,3831.06,5,1,2
2,29,2394.41,6,1,4
1,20,1747.92,6,1,4
1,46,0.0,1,1,3
2,60,0.0,7,6,2
1,27,0.0,8,6,4
2,60,1090.19,2,6,3
1,19,0.0,6,1,4
1,47,19155.28,7,1,1
2,48,0.0,7,1,2
2,59,1104.85,3,15,3
1,60,351.54,2,15,3
1,30,1600.06,5,28,0
2,53,0.0,5,28,0
2,42,0.0,7,12,0
1,49,0.0,7,12,4
2,18,0.0,4,13,0
1,44,0.0,8,13,4
2,34,375.0,2,13,3
1,36,1090.19,5,6,0
2,28,445.99,5,6,0
2,63,0.0,5,11,3
2,33,0.0,7,11,0
2,41,0.0,7,23,0
1,46,0.0,2,23,3
2,18,0.0,4,23,0
2,28,0.0,7,1,4
1,40,0.0,7,1,4
1,18,0.0,5,1,0
2,39,0.0,6,1,0
2,57,2576.81,2,30,3
2,42,0.0,7,22,0
1,35,4309.94,7,22,4
1,39,2638.97,6,26,4
2,22,0.0,5,26,0
2,67,0.0,3,26,3
1,67,4886.98,3,26,3
2,41,0.0,4,26,0
1,69,1066.71,5,33,2
2,66,0.0,5,33,3
1,20,0.0,8,28,4
2,19,0.0,8,28,0
1,40,19394.72,7,16,1
2,36,0.0,7,16,0
2,50,0.0,7,24,0
1,22,0.0,6,24,0
1,53,9479.06,7,24,1
2,40,0.0,7,20,0
1,38,16485.51,7,20,1
2,36,3005.1,6,8,4
2,44,4022.61,7,1,2
1,24,2135.81,6,1,4
1,51,6608.57,3,1,2
1,30,0.0,5,14,0
1,33,0.0,5,14,0
1,56,17718.63,7,16,1
2,47,0.0,5,16,0
1,54,0.0,5,5,2
2,20,991.08,6,5,0
2,49,0.0,5,5,2
1,77,1053.54,1,27,3
2,63,1053.54,3,27,3
1,49,2443.49,7,20,4
2,73,0.0,8,17,2
2,26,0.0,5,14,0
1,38,2424.34,5,14,4
1,40,21656.75,5,32,1
2,35,1322.24,7,32,0
2,70,9697.36,7,16,1
1,71,14546.04,7,16,1
2,24,0.0,5,12,0
2,53,5746.58,7,12,2
1,25,0.0,6,26,0
1,56,5864.38,5,26,2
2,49,0.0,5,26,0
1,65,30332.98,7,1,1
1,26,1454.6,5,7,0
1,28,1454.6,5,7,0
2,59,11493.17,7,24,1
1,59,18197.51,7,24,1
1,18,0.0,6,24,0
2,37,11493.17,7,24,4
1,45,10000.0,2,12,2
2,33,366.52,5,14,0
1,38,1221.75,2,14,3
2,47,0.0,5,4,2
1,37,0.0,5,10,0
2,38,0.0,6,10,0
2,54,0.0,5,3,2
1,21,0.0,7,3,4
2,36,5746.58,7,1,4
1,39,9577.64,7,1,1
1,40,2107.08,5,30,0
2,36,0.0,2,30,0
2,18,0.0,5,30,0
2,79,0.0,8,13,2
2,64,1801.02,2,18,3
1,68,0.0,3,18,3
1,21,1516.65,6,18,0
1,49,10726.95,7,20,1
2,20,0.0,6,20,0
2,46,7183.23,7,20,4
1,28,3505.95,7,19,4
2,28,601.02,5,19,0
1,36,1525.59,2,3,3
2,45,701.19,3,3,3
2,18,0.0,5,3,0
1,21,0.0,2,9,0
2,40,2200.0,6,9,4
1,49,2200.0,4,9,2
2,33,363.65,2,28,0
1,41,0.0,8,28,4
1,71,8811.43,7,1,1
2,71,15803.1,5,1,1
2,24,2003.4,6,5,0
1,20,0.0,5,5,0
2,45,0.0,5,5,2
1,50,0.0,7,5,2
2,40,6497.23,7,20,4
1,75,3200.13,5,20,2
1,30,1759.31,4,26,0
2,27,1172.88,5,26,0
2,26,0.0,5,26,0
2,46,0.0,2,26,3
1,20,0.0,5,26,0
2,28,0.0,5,26,0
1,53,0.0,5,26,2
2,29,0.0,5,26,0
2,40,0.0,2,22,3
2,45,0.0,7,22,0
2,36,1452.47,2,4,3
2,45,0.0,5,4,2
1,58,2003.4,2,4,3
2,78,1602.72,2,4,3
2,39,0.0,8,22,4
1,41,9577.64,7,22,4
1,75,4022.61,8,22,2
2,28,1454.6,5,14,0
1,35,2521.31,2,14,0
2,62,0.0,5,1,3
1,53,0.0,7,1,2
1,62,0.0,5,1,2
2,49,0.0,5,13,2
1,25,0.0,6,13,0
2,28,450.0,5,32,0
2,38,150.0,5,32,0
1,41,3330.0,5,32,0
2,35,5746.58,7,1,4
1,33,5746.58,7,1,4
2,63,1104.85,1,15,3
2,39,11728.76,7,27,4
1,39,19547.93,6,27,1
2,33,684.18,6,27,0
1,38,6353.08,7,27,4
1,72,10426.96,7,24,1
2,59,4549.95,7,24,2
2,39,1149.32,6,26,0
1,41,0.0,6,26,0
2,42,1466.1,2,7,3
1,44,1466.1,2,7,3
1,18,0.0,4,7,0
2,73,1200.0,5,2,3
1,77,1683.0,5,2,2
1,38,2109.25,5,4,2
2,35,0.0,5,4,0
2,62,0.0,2,4,3
2,45,0.0,2,19,3
2,29,1101.87,6,19,0
1,40,2875.21,5,12,2
2,41,2875.21,5,12,2
1,75,9697.36,7,16,1
2,80,12606.57,7,16,1
2,38,1506.61,8,9,4
1,30,581.84,6,18,0
2,52,1745.52,7,18,2
2,61,0.0,7,30,2
1,45,14218.58,5,1,1
1,47,0.0,5,1,2
1,57,0.0,5,12,2
2,52,1783.94,5,12,2
2,43,15814.86,7,24,1
1,45,13050.76,7,24,1
2,59,0.0,3,2,3
2,23,0.0,5,2,0
2,28,0.0,5,9,0
1,24,0.0,8,9,4
2,63,1066.71,4,33,3
2,51,0.0,1,14,3
1,35,0.0,5,14,0
2,28,3029.93,7,14,4
1,56,0.0,1,14,3
1,54,1466.1,2,14,3
2,53,1075.14,2,14,3
1,53,0.0,5,21,2
2,40,0.0,6,21,0
2,18,0.0,5,21,0
2,34,6206.31,7,20,4
2,61,5818.41,5,20,2
1,66,12606.57,7,20,1
2,56,1075.14,2,25,3
1,45,0.0,5,26,0
2,35,0.0,5,26,0
2,36,0.0,5,9,0
1,40,0.0,7,9,4
2,73,0.0,5,27,3
1,60,23982.01,7,16,1
2,68,17275.58,7,16,1
2,28,3649.44,7,16,4
2,33,4075.99,6,16,4
2,33,0.0,5,5,0
2,56,0.0,7,30,0
1,45,5022.02,5,4,2
2,22,0.0,5,4,0
1,22,3013.21,6,4,4
2,59,12450.93,7,16,1
1,62,34479.5,7,16,1
1,39,0.0,7,18,4
2,37,0.0,7,18,0
1,56,0.0,7,30,4
2,43,0.0,7,30,0
2,42,148.66,5,6,0
1,49,0.0,2,6,3
2,28,0.0,5,4,0
1,28,0.0,6,4,4
2,63,0.0,7,16,2
1,60,0.0,7,16,2
2,39,0.0,7,8,4
1,69,0.0,5,8,2
1,42,0.0,7,8,4
2,71,0.0,5,8,3
1,25,2404.08,7,8,4
2,32,600.0,5,8,0
1,39,3600.0,7,8,4
2,22,0.0,6,30,0
1,51,7204.08,7,30,4
2,56,7109.29,7,30,2
2,45,0.0,7,4,2
2,54,0.0,2,25,3
2,40,0.0,5,23,0
2,62,150.26,5,15,3
2,27,0.0,5,15,0
1,33,0.0,7,1,4
2,32,0.0,7,1,4
2,56,9697.36,5,26,2
2,27,0.0,6,26,0
1,22,1939.47,7,26,4
2,35,0.0,5,1,0
1,37,1066.71,2,25,0
1,27,1066.71,2,25,0
2,22,0.0,5,25,0
2,76,1066.71,8,25,2
2,26,0.0,6,3,0
2,44,2973.24,7,3,2
2,18,0.0,6,18,0
1,44,4739.53,7,18,4
2,41,6161.39,7,18,4
1,28,1053.54,3,31,0
2,31,335.22,3,31,0
2,52,1090.19,1,23,3
1,53,0.0,8,23,4
1,28,1702.89,7,32,4
2,21,0.0,7,32,0
1,59,11493.17,7,1,1
2,50,0.0,5,1,2
1,42,0.0,5,30,0
2,31,0.0,3,30,0
2,25,1502.55,6,13,0
1,28,2003.4,7,13,4
2,31,0.0,5,13,0
2,34,363.65,5,14,0
1,28,1939.47,3,14,0
2,25,6540.57,5,20,0
1,27,10267.23,5,20,4
1,64,1759.31,2,3,3
2,34,0.0,7,3,4
1,57,0.0,8,3,2
1,34,0.0,7,1,4
2,54,0.0,7,1,2
1,58,0.0,4,13,3
2,54,0.0,2,13,3
1,30,14366.46,7,1,1
2,30,19155.28,7,1,1
2,60,0.0,2,12,3
2,25,247.77,5,12,0
1,24,0.0,5,12,0
2,27,0.0,5,12,0
2,37,0.0,5,12,0
2,45,7662.11,7,22,4
1,42,7183.23,7,22,4
1,72,1138.93,2,2,3
2,72,1124.91,2,2,3
1,29,1794.01,5,23,0
1,35,0.0,5,23,0
2,27,0.0,5,14,0
1,46,2638.97,5,14,2
2,52,0.0,5,27,0
2,20,0.0,6,27,0
1,58,0.0,5,27,2
1,49,0.0,5,21,2
2,46,0.0,2,21,3
1,46,0.0,7,30,4
2,42,0.0,7,30,0
2,31,800.0,5,8,0
1,41,2600.0,5,8,2
1,40,2394.41,5,1,2
2,45,2873.29,7,1,2
1,71,0.0,7,19,2
2,64,0.0,5,19,3
2,40,1066.71,5,33,0
1,32,1939.47,7,22,4
1,69,17455.24,7,22,1
2,66,10667.09,7,22,1
1,41,1104.85,1,12,3
2,46,0.0,2,12,3
2,54,0.0,8,12,2
2,29,0.0,6,14,0
2,31,0.0,7,14,0
1,29,0.0,7,14,4
1,35,0.0,7,1,4
2,38,0.0,7,12,0
1,40,4072.89,7,12,4
2,69,0.0,8,1,2
1,76,0.0,8,1,2
1,25,0.0,7,1,4
2,46,0.0,2,21,3
1,46,1982.16,1,21,3
2,39,4557.76,7,20,4
1,40,9794.33,7,20,4
1,63,6704.35,7,20,2
1,24,0.0,7,20,4
1,39,5267.7,7,30,4
2,37,0.0,3,30,0
1,55,0.0,3,16,3
2,67,9773.97,7,16,1
1,40,0.0,4,1,2
2,56,0.0,2,6,3
1,19,0.0,4,6,0
1,48,2180.38,2,6,3
1,33,146.61,8,25,4
2,29,0.0,8,25,0
1,49,8727.62,7,1,1
2,25,0.0,7,1,0
2,47,4848.68,7,1,2
2,22,0.0,6,1,0
1,37,0.0,7,10,4
2,33,0.0,7,10,0
2,43,3033.3,7,27,4
1,46,2464.55,5,27,0
2,57,0.0,8,13,2
2,73,0.0,7,1,2
2,33,0.0,2,2,3
2,37,0.0,5,2,0
1,42,3766.11,7,23,4
2,46,9309.46,7,20,4
1,45,12897.49,7,20,1
1,25,3317.67,7,24,4
1,47,11151.96,7,20,1
2,43,5333.55,7,20,4
1,39,0.0,2,6,3
2,49,375.0,2,6,3
2,19,0.0,2,6,0
2,33,0.0,7,1,4
1,38,0.0,7,1,4
2,61,0.0,5,10,3
1,47,2036.45,7,14,4
2,41,2133.42,7,14,4
2,58,0.0,7,4,2
1,60,0.0,5,4,2
1,32,0.0,5,1,0
2,31,0.0,7,1,4
2,36,0.0,7,1,4
1,20,0.0,6,1,4
2,75,0.0,5,4,3
1,78,2209.69,3,4,3
1,65,25859.62,7,1,1
1,80,11493.17,7,1,1
2,23,0.0,4,12,0
1,41,0.0,7,1,4
2,28,0.0,7,1,4
2,42,5213.48,7,18,4
2,19,0.0,6,27,0
2,21,1915.53,6,22,0
2,18,0.0,4,22,0
1,22,1915.53,6,22,0
2,48,17239.75,7,22,1
2,33,1484.53,2,31,0
1,39,1245.09,2,31,0
2,51,0.0,7,19,2
1,29,0.0,7,19,4
2,23,0.0,6,19,0
2,38,0.0,4,2,0
1,35,2985.0,5,2,4
1,24,1104.85,5,9,0
2,48,602.64,5,9,2
2,36,3160.62,7,1,4
1,35,10535.4,7,1,1
1,53,0.0,7,22,4
2,37,1454.6,5,1,0
2,21,0.0,6,28,0
2,44,290.92,5,28,0
1,51,1454.6,5,28,2
1,18,450.93,6,28,0
2,68,9479.06,5,1,2
2,21,0.0,7,13,0
1,40,0.0,7,13,4
2,60,0.0,3,13,3
2,30,3420.89,7,21,4
1,33,1563.83,6,21,4
1,53,0.0,8,30,4
2,51,0.0,3,30,3
1,37,4739.53,5,30,4
2,29,0.0,5,30,0
2,50,1462.48,5,4,2
1,20,1202.04,5,4,0
1,25,1402.38,5,4,0
1,80,1502.55,2,4,3
2,77,1101.87,3,4,3
2,28,8619.87,7,1,4
1,32,14366.46,7,1,1
1,44,14546.04,7,33,1
2,43,9697.36,7,33,4
1,25,0.0,6,18,0
2,48,0.0,5,18,0
1,51,0.0,5,18,2
2,21,0.0,6,18,0
1,24,1502.55,5,32,0
2,19,375.64,4,32,0
2,35,2843.72,7,1,4
1,36,5497.85,5,1,2
2,39,4984.72,7,14,4
2,69,7757.89,7,1,1
2,46,0.0,5,14,0
2,33,0.0,7,1,4
2,32,632.12,5,30,0
1,68,2909.21,7,22,2
2,64,0.0,2,22,3
1,59,0.0,2,25,3
2,51,0.0,2,25,3
2,35,0.0,7,22,0
1,37,0.0,7,22,4
2,26,3975.92,7,10,4
1,30,3878.94,7,20,4
2,25,0.0,7,20,0
1,34,1915.53,7,1,4
2,73,11493.17,7,1,1
1,32,4788.82,7,1,4
1,37,0.0,7,14,4
2,37,0.0,5,14,0
2,46,0.0,4,14,3
2,49,0.0,8,3,4
2,36,0.0,1,15,3
1,38,0.0,8,15,4
1,71,2180.38,2,3,3
1,44,0.0,5,3,2
2,39,0.0,7,3,4
2,77,0.0,5,3,3
2,40,375.0,2,6,3
1,46,1500.0,2,6,3
2,41,1939.47,7,20,4
1,23,4557.76,6,20,4
2,29,4363.81,7,20,4
2,67,0.0,7,18,2
1,30,6012.36,7,20,4
2,28,1842.5,6,20,0
2,37,7819.17,7,27,4
1,33,6059.86,6,27,4
1,39,2443.49,5,26,0
2,37,1466.1,7,26,0
2,61,1075.14,2,26,3
1,29,1149.32,5,24,0
1,63,1500.0,5,3,2
2,47,0.0,5,3,2
2,52,3878.94,7,20,2
1,37,3013.21,5,4,2
1,37,1104.85,5,4,2
2,60,1506.61,3,4,3
1,60,0.0,3,4,3
1,18,1104.85,4,4,0
2,70,0.0,7,24,2
1,76,0.0,7,24,2
1,41,0.0,5,6,2
2,48,0.0,6,6,2
1,24,0.0,4,6,0
1,26,0.0,6,6,4
1,35,727.3,4,25,0
2,29,266.68,2,25,0
2,36,3352.17,7,1,4
2,65,2107.08,5,1,2
2,79,0.0,3,2,3
2,58,6540.55,7,18,2
1,29,3317.67,6,18,4
1,59,8531.15,7,18,1
2,22,900.51,6,18,0
1,43,1783.94,8,30,4
2,39,0.0,7,4,4
1,41,0.0,7,4,4
2,22,0.0,4,13,0
1,24,0.0,6,13,0
2,51,1090.19,2,13,3
1,18,0.0,2,9,0
2,36,1551.58,5,9,0
1,34,2812.23,5,9,4
1,40,0.0,4,10,0
2,30,0.0,5,10,0
2,61,0.0,5,10,3
1,31,0.0,5,10,0
2,78,1707.49,3,4,3
2,47,1205.29,3,4,3
1,36,2812.33,3,4,2
2,41,7949.44,7,20,4
1,43,7183.23,6,20,4
1,39,11780.49,7,27,4
2,31,0.0,5,1,0
1,58,3214.09,5,2,2
1,26,0.0,7,2,4
2,31,0.0,7,2,4
2,56,0.0,7,2,2
2,27,0.0,5,3,0
1,37,2973.24,5,3,2
2,41,0.0,7,22,0
2,19,0.0,6,22,0
2,47,2443.49,7,3,2
2,27,1319.49,7,3,4
2,71,4398.29,3,3,3
1,40,9673.41,7,30,4
2,41,0.0,6,30,0
1,26,0.0,7,2,4
1,56,7030.83,2,2,2
2,55,0.0,2,2,3
2,24,0.0,6,2,0
1,62,0.0,7,1,2
2,55,0.0,5,1,2
1,67,4654.73,2,7,3
1,46,0.0,2,2,3
2,41,0.0,3,2,3
1,48,4929.11,7,27,4
2,42,1895.81,6,27,0
1,72,6937.56,6,30,2
2,76,6937.56,8,30,2
1,65,0.0,7,24,2
2,67,0.0,7,24,2
2,37,0.0,7,1,4
1,37,0.0,7,1,4
1,29,0.0,6,1,4
1,28,6676.63,7,20,4
1,43,8824.6,7,20,4
1,69,0.0,8,31,2
2,57,0.0,2,31,3
2,49,0.0,5,25,0
2,48,0.0,5,30,0
2,40,5818.41,7,22,4
2,39,1104.85,5,9,0
2,38,14366.46,7,16,4
1,40,19155.28,7,16,1
2,67,31127.32,7,16,1
2,32,0.0,5,28,0
1,46,1551.58,4,28,0
2,46,0.0,4,18,3
2,67,19517.31,7,18,1
1,69,25321.36,7,18,1
1,31,0.0,7,18,4
2,34,363.65,6,25,0
1,40,1939.47,2,25,3
2,51,5818.41,7,22,2
1,67,9697.36,7,22,1
2,55,0.0,5,33,0
1,58,15515.77,7,33,1
2,31,0.0,5,3,0
2,27,0.0,6,3,0
2,70,1104.85,2,3,3
1,47,0.0,7,3,4
2,51,3606.12,7,19,2
1,22,3005.1,6,19,4
1,52,3005.1,7,19,4
1,63,3766.11,8,27,2
2,31,0.0,5,27,0
2,40,2973.24,7,27,4
1,66,2775.02,5,27,2
2,36,0.0,5,27,0
2,50,8140.99,7,20,4
2,27,0.0,4,20,0
1,38,1163.68,2,14,3
2,19,0.0,4,14,0
2,39,1163.68,5,14,0
1,36,2541.23,2,14,3
2,34,0.0,5,14,0
1,74,15166.49,7,1,1
2,71,14218.58,7,1,1
1,62,2736.71,2,3,3
2,55,0.0,4,3,3
2,22,0.0,4,3,0
1,52,0.0,3,1,3
2,44,0.0,5,1,2
2,21,0.0,6,24,0
2,43,0.0,7,24,0
1,51,0.0,7,24,4
1,24,1454.6,5,28,0
2,22,169.7,5,28,0
2,40,601.02,5,2,2
1,55,601.02,2,2,3
1,57,1205.05,3,2,3
2,45,1868.17,5,2,2
2,43,1906.24,5,2,2
1,50,22575.91,6,27,1
1,22,0.0,6,27,0
2,50,19094.42,7,27,1
1,25,0.0,6,27,0
2,23,0.0,5,17,0
1,29,0.0,6,17,0
2,34,375.64,5,2,0
1,36,0.0,5,4,0
2,32,0.0,4,4,0
1,43,242.43,2,25,3
2,50,0.0,7,3,2
2,53,0.0,7,3,2
2,73,0.0,2,3,3
1,48,0.0,7,3,2
2,60,4788.82,7,22,2
1,65,7662.11,7,22,1
2,60,171.04,2,9,3
1,72,1759.31,2,9,3
2,60,0.0,5,12,3
1,64,3878.94,5,12,2
2,33,1189.3,5,3,0
2,80,1101.87,2,32,3
2,24,0.0,4,3,0
1,29,2199.14,6,3,4
1,59,8013.6,7,13,1
2,50,8013.6,5,13,2
2,45,10535.4,5,16,2
1,47,23944.09,7,16,1
2,29,169.7,5,28,0
1,54,1163.68,2,28,3
2,56,581.84,2,28,3
2,54,458.4,3,3,3
1,38,146.61,6,3,4
2,67,1075.14,1,7,3
1,58,4608.52,5,5,2
1,35,1387.51,3,4,0
1,67,0.0,7,10,2
2,65,0.0,7,10,2
2,42,120.2,5,3,2
1,31,0.0,7,6,4
2,37,0.0,7,6,4
1,60,0.0,2,6,3
2,55,150.26,2,6,3
1,24,0.0,4,25,0
1,45,0.0,2,25,3
1,20,0.0,5,25,0
2,42,0.0,1,25,3
2,18,0.0,4,15,0
2,43,1305.73,5,15,0
1,37,0.0,5,15,0
2,20,0.0,5,15,0
1,54,0.0,4,14,2
2,45,0.0,5,14,0
2,41,0.0,5,27,0
2,42,0.0,7,1,4
1,40,0.0,3,1,3
2,18,1466.1,3,27,0
1,29,390.96,2,27,0
2,28,3714.11,6,10,4
1,42,0.0,7,11,4
2,23,0.0,5,11,0
2,42,9290.31,7,16,4
1,49,10535.4,7,16,1
2,25,1661.57,7,23,0
1,41,16936.14,7,16,1
2,44,23549.5,7,16,1
1,18,1723.97,4,30,0
1,45,0.0,3,30,0
2,40,0.0,4,30,0
2,35,0.0,5,2,0
1,38,1684.86,5,2,2
2,23,0.0,7,1,0
